product,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,material_cost_inr,category_Construction,category_Cosmetics,category_Electronics,category_Food Packaging,category_Furniture,category_Healthcare,category_Home Appliances,category_Textiles,category_Toys,material_type_Bamboo Fiber,material_type_Bioplastic,material_type_Cornstarch Polymer,material_type_Molded Pulp,material_type_PLA Plastic,material_type_Palm Leaf,material_type_Paperboard,material_type_Recycled Plastic,material_type_Seaweed Packaging,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
Car Spare Part Box,0.0,0.5246938775510204,0.2666666666666667,0.7142857142857142,0.7857142857142856,0.579423076923077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07619047619047623,1.333022605453274,0.5877911353774787
Syringe Pack,0.0,0.18938775510204078,1.0,0.2571428571428571,0.2285714285714286,0.4225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7428571428571429,0.5284888521882742,0.5125058393299516
Cement Bag,0.0,0.9120408163265304,0.35,0.08571428571428572,0.7571428571428571,0.19346153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.31999999999999995,3.721307048339184,1.5180043593997143
Chair Packaging,0.5,0.6065306122448979,0.31666666666666665,0.8142857142857143,0.10000000000000003,0.05384615384615385,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05880952380952381,9.397590361445785,3.0247601016310144
Shampoo Bottle,0.5,0.42204081632653057,0.9333333333333335,0.6714285714285715,0.7999999999999998,0.496923076923077,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.30666666666666664,2.5644916540212432,1.0186264077709988
Lipstick Case,0.0,0.6148979591836734,0.7666666666666667,0.2714285714285714,0.4857142857142857,0.576923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5585714285714287,0.8275603819509454,0.6561660737689572
Fabric Roll Wrap,0.0,0.4591836734693877,0.2833333333333333,0.657142857142857,0.31428571428571433,0.6088461538461538,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.09714285714285717,0.5078575867885999,0.32896952093453913
Engine Oil Container,0.5,0.3024489795918367,0.18333333333333335,1.0,0.07142857142857145,0.3719230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.496187598906632,0.5395909735495406
Lipstick Case,0.5,0.005510204081632653,0.6666666666666666,0.2571428571428571,0.8714285714285714,0.6849999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.49523809523809526,1.97327852004111,0.7917318553320609
Makeup Kit,0.5,0.03918367346938775,0.35,0.0,0.6142857142857143,0.5803846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,1.8873894834806888,0.717971947085023
Vacuum Cleaner Pack,0.5,0.18285714285714286,0.41666666666666663,0.4142857142857143,0.5714285714285714,0.4113461538461539,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.24404761904761899,2.5428701832170564,0.9153372454413073
Shirt Packaging,0.5,0.4430612244897959,0.5833333333333334,0.8714285714285714,0.3428571428571428,0.9698076923076923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.075,0.8602271134165147,0.4209865013718931
Vacuum Cleaner Pack,0.5,0.6799999999999999,0.08333333333333337,0.8571428571428572,0.17142857142857143,0.33961538461538465,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.011904761904761904,1.9204777620619204,0.7849052333804808
Camera Box,0.5,0.57,0.35,0.2285714285714286,0.9857142857142855,0.37749999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26999999999999996,3.834101382488479,1.4292304147465436
Shirt Packaging,0.0,0.3391836734693877,0.4666666666666667,0.2857142857142857,0.49999999999999994,0.5657692307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333333333333337,0.8684034736138943,0.49560947745831796
First Aid Kit,0.5,0.8383673469387753,0.050000000000000044,0.2857142857142857,0.8857142857142857,0.27884615384615385,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.03571428571428575,4.797412973178618,1.7050198103209322
Beverage Bottle,1.0,0.9579591836734692,0.8166666666666668,0.4857142857142857,0.24285714285714283,0.5413461538461538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,2.254222930888435,1.1316546343685712
Lipstick Case,0.0,0.31979591836734694,0.15000000000000002,0.39999999999999997,0.7571428571428571,0.1126923076923077,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09000000000000002,6.171070309001343,1.983259868210607
Educational Toy Box,1.0,0.4430612244897959,0.85,0.4857142857142857,0.6857142857142857,0.7809615384615385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4371428571428571,2.1312215622937725,0.9471419788922133
Engine Oil Container,1.0,0.5510204081632653,0.7666666666666667,0.08571428571428572,0.2,0.5332692307692307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.700952380952381,2.208849557522124,1.108341942086569
Chair Packaging,0.0,0.9465306122448979,0.5499999999999999,0.8857142857142857,0.2285714285714286,0.30365384615384616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06285714285714288,0.7287378470701585,0.5277233949373741
Iron Box,0.0,0.7187755102040815,0.20000000000000007,0.9000000000000001,0.7857142857142856,0.3996153846153847,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.01999999999999998,1.9181757209926216,0.799085369359011
Vacuum Cleaner Pack,0.5,0.813265306122449,0.4666666666666667,0.7285714285714286,0.6428571428571428,0.22480769230769232,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.12666666666666662,4.867204867204866,1.7548077186648612
Accessory Kit,1.0,0.5983673469387755,0.06666666666666665,0.8,0.8999999999999999,0.27557692307692305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.013333333333333327,6.653198653198653,2.1808031333745617
Cement Bag,0.5,0.15,0.050000000000000044,0.18571428571428572,0.6142857142857143,0.14673076923076928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04071428571428575,7.109553023663451,2.1941516213847496
Fabric Roll Wrap,0.0,0.390204081632653,0.3666666666666666,0.7428571428571429,0.6857142857142857,0.3088461538461538,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.09428571428571425,2.150611752541789,0.7999590359666183
Accessory Kit,1.0,0.6704081632653061,0.8333333333333334,0.3142857142857143,0.9428571428571428,0.5334615384615385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5714285714285715,3.574967141846122,1.5021840201048569
Educational Toy Box,0.0,0.9565306122448978,0.13333333333333341,0.02857142857142858,0.45714285714285713,0.3019230769230769,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1295238095238096,1.4655627972520697,0.7784375466586141
Battery Pack,0.5,0.8187755102040815,0.8833333333333334,0.01428571428571429,0.5142857142857142,0.7267307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8707142857142859,1.3767386359398888,1.0069399581289054
Car Spare Part Box,0.5,0.7944897959183672,0.7666666666666667,0.7,0.6857142857142857,0.9526923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.23000000000000004,1.231664859311683,0.6998463965690152
Face Cream Jar,0.5,0.4126530612244897,0.7833333333333333,0.6142857142857143,0.07142857142857145,0.2832692307692308,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3021428571428571,1.94847775175644,0.8291963867514218
Snack Pack,0.5,0.7644897959183673,0.050000000000000044,0.3,0.8999999999999999,0.08211538461538462,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03500000000000003,15.198329853862212,4.802845894934174
Fabric Roll Wrap,0.5,0.5116326530612244,0.5666666666666668,0.12857142857142856,0.8142857142857143,0.19692307692307692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4938095238095239,6.351566648964418,2.256483600131502
Cement Bag,1.0,0.5483673469387754,0.8166666666666668,0.5428571428571429,0.5714285714285714,0.5576923076923077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3733333333333333,2.768099109562524,1.144273270283723
Shirt Packaging,0.0,0.7610204081632652,0.3833333333333334,0.9000000000000001,0.7285714285714284,0.2648076923076923,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.03833333333333329,2.651204638608417,1.039000847364838
Takeaway Container,1.0,0.40653061224489795,0.30000000000000004,0.45714285714285713,0.2,0.14269230769230767,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1628571428571429,7.858942065491184,2.5447846604636815
Beverage Bottle,0.5,0.7393877551020407,0.8166666666666668,1.0,0.6857142857142857,0.46826923076923077,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2.479177436957895,0.9655695576179808
Chair Packaging,0.0,0.8126530612244897,0.8833333333333334,0.6142857142857143,0.17142857142857143,0.3182692307692308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3407142857142857,0.5222194325885011,0.5367474624296116
Smartphone Box,0.5,0.974081632653061,0.5333333333333333,0.7142857142857142,0.21428571428571425,0.7717307692307693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15238095238095242,0.9137234229485149,0.6272938976328537
Table Wrap,0.0,0.39775510204081627,0.09999999999999998,0.8428571428571427,0.7571428571428571,0.5599999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015714285714285722,1.3283208020050126,0.5241084854994629
PVC Pipe Bundle,0.0,0.9508163265306122,0.15000000000000002,0.7428571428571429,0.21428571428571425,0.21923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038571428571428576,0.9348034515819749,0.5811145048623476
Shampoo Bottle,1.0,0.5718367346938775,0.1166666666666667,0.8142857142857143,0.9857142857142855,0.2944230769230769,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.021666666666666674,6.522876996660951,2.137080786073115
Snack Pack,0.0,0.17346938775510204,0.4,0.4142857142857143,0.7285714285714284,0.621923076923077,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23428571428571426,1.1529432223284928,0.49163806873936416
Tablet Blister,0.5,0.7610204081632652,0.8166666666666668,0.01428571428571429,0.3,0.25923076923076926,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.8050000000000002,2.971428571428571,1.441734693877551
Medicine Bottle,0.5,0.7326530612244897,0.7666666666666667,0.38571428571428573,0.8999999999999999,0.11249999999999999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.470952380952381,11.428571428571429,3.8367482993197277
Engine Oil Container,0.5,0.620204081632653,0.5333333333333333,0.5714285714285714,0.657142857142857,0.3063461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2285714285714286,3.657837603126356,1.3748410768562742
Shirt Packaging,1.0,0.9973469387755101,0.6,0.9428571428571428,0.45714285714285713,0.7990384615384615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.034285714285714294,1.8010798329315088,0.8532423172263913
Fabric Roll Wrap,1.0,0.9144897959183673,0.18333333333333335,0.04285714285714287,0.3714285714285714,0.2578846153846154,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.17547619047619048,5.119474925648651,1.8803798926605817
Frozen Food Box,0.0,0.22551020408163266,0.3833333333333334,0.5285714285714285,0.0,0.33865384615384614,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1807142857142858,0.0,0.13993877551020412
Shampoo Bottle,0.0,0.9324489795918366,0.01666666666666672,0.8428571428571427,0.7285714285714284,0.08153846153846156,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002619047619047629,7.959183673469385,2.6685374149659853
Snack Pack,1.0,0.2114285714285714,0.7999999999999999,0.34285714285714286,0.28571428571428575,0.5984615384615385,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5257142857142857,2.1130576124255014,0.9076315694419361
Doll Packaging,1.0,0.22020408163265304,0.4833333333333333,0.17142857142857143,0.5571428571428572,0.06480769230769229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.40047619047619043,20.815277267719434,6.470834880996103
Smartphone Box,1.0,0.06653061224489795,0.31666666666666665,0.9714285714285715,0.10000000000000003,0.5307692307692308,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.009047619047619014,2.0341394025604553,0.6338200520606536
First Aid Kit,1.0,0.5830612244897958,0.9500000000000001,0.0,0.5142857142857142,0.5482692307692307,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9500000000000001,2.7124649377491266,1.3686578486716767
Power Bank Pack,0.0,0.8763265306122447,0.06666666666666665,0.9285714285714286,0.7285714285714284,0.1251923076923077,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004761904761904759,5.389148547043281,1.8815472852014197
Hardware Tool Pack,0.0,0.12367346938775509,0.5166666666666667,0.2714285714285714,0.7285714285714284,0.4459615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3764285714285715,1.597879134783394,0.6670372098227733
Toy Car Box,0.5,0.6055102040816326,0.9666666666666667,0.7428571428571429,0.24285714285714283,0.7021153846153846,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.24857142857142855,1.0431696308012808,0.5940325218934455
First Aid Kit,0.5,0.743469387755102,0.5000000000000001,0.18571428571428572,0.05714285714285716,0.4390384615384615,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.40714285714285725,1.2407464056286328,0.7581218808722633
Shampoo Bottle,0.5,0.3475510204081632,0.16666666666666674,0.08571428571428572,0.39999999999999997,0.46288461538461545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15238095238095245,1.9032126880845868,0.736181493500206
Vacuum Cleaner Pack,1.0,0.09326530612244899,0.18333333333333335,0.32857142857142857,0.4428571428571429,0.5386538461538461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.12309523809523812,2.6298132291823144,0.8661616558295242
Tyre Wrap,1.0,0.893877551020408,0.5166666666666667,0.9000000000000001,0.01428571428571429,0.8298076923076924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.051666666666666604,1.2077594949131472,0.6511577804467332
Headphones Pack,0.0,0.050816326530612244,0.6166666666666666,0.4857142857142857,0.4142857142857143,0.7523076923076923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31714285714285706,0.5434625918985152,0.3051408183858811
Smartphone Box,1.0,0.5681632653061224,0.85,0.34285714285714286,0.9714285714285713,0.15346153846153848,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5585714285714286,12.060504201680669,4.012028811524608
Fabric Roll Wrap,1.0,0.8655102040816325,0.08333333333333337,0.6714285714285715,0.8999999999999999,0.3055769230769231,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.027380952380952388,6.020719073735527,2.0768211642975287
Smartphone Box,0.0,0.2361224489795918,0.3666666666666666,0.17142857142857143,0.7285714285714284,0.1980769230769231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3038095238095237,3.5014523369421693,1.242796245300338
PVC Pipe Bundle,0.0,0.9363265306122448,0.6666666666666666,0.9571428571428571,0.7142857142857142,0.8003846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571428571428616,0.8814156891992676,0.5567512373720251
Tyre Wrap,0.0,0.020204081632653057,0.4,0.7571428571428571,0.12857142857142861,0.9432692307692309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09714285714285716,0.13487420386754664,0.08538062850720278
First Aid Kit,0.5,0.21591836734693876,0.7000000000000001,0.5714285714285714,0.35714285714285715,0.22000000000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.30000000000000004,3.726708074534161,1.3027879325643301
Vacuum Cleaner Pack,1.0,0.3614285714285714,0.41666666666666663,0.42857142857142855,0.7857142857142856,0.26769230769230773,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.23809523809523805,6.430550059358922,2.1328316844743433
Fan Packaging,0.5,0.32938775510204077,0.7000000000000001,0.3,0.10000000000000003,0.5336538461538461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.49,1.1036434382737885,0.6259093580127487
Table Wrap,0.5,0.8932653061224489,0.25,0.47142857142857136,0.6857142857142857,0.23750000000000004,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13214285714285717,4.79076479076479,1.7580661719233146
Vacuum Cleaner Pack,0.5,0.17612244897959184,0.41666666666666663,0.6857142857142857,0.05714285714285716,0.5426923076923077,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.13095238095238093,1.0080524903071877,0.4076334341669862
Board Game Pack,0.5,0.46510204081632645,0.8166666666666668,0.24285714285714283,0.39999999999999997,0.38076923076923075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6183333333333334,2.3031496062992125,1.0778088274679951
Toy Car Box,0.5,0.690408163265306,0.9,0.6428571428571428,0.5571428571428572,0.007307692307692321,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3214285714285715,61.079365079365026,18.65950340136053
Laptop Box,1.0,0.6755102040816326,0.5666666666666668,0.2857142857142857,0.10000000000000003,0.3538461538461538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4047619047619048,3.023255813953489,1.2715345673152982
Table Wrap,0.5,0.7865306122448978,0.7000000000000001,0.7428571428571429,0.8857142857142857,0.5744230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.18,2.371080712640436,1.0192833974656001
Snack Pack,1.0,0.07959183673469389,0.7000000000000001,0.49999999999999994,0.5857142857142856,0.18865384615384612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.35000000000000003,7.982298437283918,2.5585670822055833
Shirt Packaging,1.0,0.36775510204081624,0.15000000000000002,0.4142857142857143,0.18571428571428567,0.2025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.08785714285714286,5.579831932773109,1.8194189675870347
Accessory Kit,1.0,0.3155102040816326,0.8333333333333334,0.7428571428571429,0.7857142857142856,0.0978846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.21428571428571427,16.552075375604783,5.14598995962021
Accessory Kit,0.5,0.8816326530612244,0.5333333333333333,0.9000000000000001,0.24285714285714283,0.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05333333333333326,1.038961038961039,0.5975114409400124
